"","Time","Date","Flags","pm","pmb","avgpm","avgpmb","datetime"
"59","19:35:00",2022-03-29,"--------","11.0623","3.54269","9.08229","3.68414",2022-03-29 19:35:00
"60","19:40:00",2022-03-29,"--------","15.5078","4.81718","9.08229","3.68414",2022-03-29 19:40:00
"61","19:45:00",2022-03-29,"--------","14.74","6.3178","9.08229","3.68414",2022-03-29 19:45:00
"62","19:50:00",2022-03-29,"--------","12.3572","4.04537","9.08229","3.68414",2022-03-29 19:50:00
"63","19:55:00",2022-03-29,"--------","10.8926","3.11521","9.08229","3.68414",2022-03-29 19:55:00
"64","20:00:00",2022-03-29,"--------","11.2797","3.71586","9.08229","3.68414",2022-03-29 20:00:00
"65","20:05:00",2022-03-29,"--------","12.0548","1.05406","9.08229","3.68414",2022-03-29 20:05:00
"66","20:10:00",2022-03-29,"--------","13.9102","1.52715","9.08229","3.68414",2022-03-29 20:10:00
"67","20:15:00",2022-03-29,"--------","16.8131","3.72416","9.08229","3.68414",2022-03-29 20:15:00
"68","20:20:00",2022-03-29,"--------","16.8082","4.04034","9.08229","3.68414",2022-03-29 20:20:00
"69","20:25:00",2022-03-29,"--------","16.6982","3.42859","9.08229","3.68414",2022-03-29 20:25:00
"70","20:30:00",2022-03-29,"--------","18.8069","5.61277","9.08229","3.68414",2022-03-29 20:30:00
"71","20:35:00",2022-03-29,"--------","19.3396","6.67907","9.08229","3.68414",2022-03-29 20:35:00
"72","20:40:00",2022-03-29,"--------","16.1594","5.44289","9.08229","3.68414",2022-03-29 20:40:00
"73","20:45:00",2022-03-29,"--------","14.685","5.03123","9.08229","3.68414",2022-03-29 20:45:00
"74","20:50:00",2022-03-29,"--------","14.7753","4.06542","9.08229","3.68414",2022-03-29 20:50:00
"75","20:55:00",2022-03-29,"--------","13.4436","-0.00131728","9.08229","3.68414",2022-03-29 20:55:00
"76","21:00:00",2022-03-29,"--------","9.00521","-2.55107","9.08229","3.68414",2022-03-29 21:00:00
"77","21:05:00",2022-03-29,"--------","3.35902","-2.05341","9.08229","3.68414",2022-03-29 21:05:00
"78","21:10:00",2022-03-29,"--------","0.814722","-0.763832","9.08229","3.68414",2022-03-29 21:10:00
"79","21:15:00",2022-03-29,"--------","-0.575925","-3.26006","9.08229","3.68414",2022-03-29 21:15:00
"80","21:20:00",2022-03-29,"--------","-1.58482","-5.74752","9.08229","3.68414",2022-03-29 21:20:00
"81","21:25:00",2022-03-29,"--------","0.534139","-4.77398","9.08229","3.68414",2022-03-29 21:25:00
"82","21:30:00",2022-03-29,"--------","2.56999","-4.45046","9.08229","3.68414",2022-03-29 21:30:00
"83","21:35:00",2022-03-29,"--------","3.71991","-4.56647","9.08229","3.68414",2022-03-29 21:35:00
"84","21:40:00",2022-03-29,"--------","5.95869","-5.3221","9.08229","3.68414",2022-03-29 21:40:00
"85","21:45:00",2022-03-29,"--------","7.68471","-6.31023","9.08229","3.68414",2022-03-29 21:45:00
"86","21:50:00",2022-03-29,"--------","6.56473","-2.71931","9.08229","3.68414",2022-03-29 21:50:00
"87","21:55:00",2022-03-29,"--------","7.41638","-0.0725161","9.08229","3.68414",2022-03-29 21:55:00
"88","22:00:00",2022-03-29,"--------","9.43045","0.613154","9.08229","3.68414",2022-03-29 22:00:00
"89","22:05:00",2022-03-29,"--------","11.8418","1.31025","9.08229","3.68414",2022-03-29 22:05:00
"90","22:10:00",2022-03-29,"--------","14.4252","1.7172","9.08229","3.68414",2022-03-29 22:10:00
"91","22:15:00",2022-03-29,"--------","13.7438","2.30607","9.08229","3.68414",2022-03-29 22:15:00
"92","22:20:00",2022-03-29,"--------","9.40574","1.78871","9.08229","3.68414",2022-03-29 22:20:00
"93","22:25:00",2022-03-29,"--------","7.52687","-1.59271","9.08229","3.68414",2022-03-29 22:25:00
"94","22:30:00",2022-03-29,"--------","8.02713","-3.34255","9.08229","3.68414",2022-03-29 22:30:00
"95","22:35:00",2022-03-29,"--------","8.04027","-1.55555","9.08229","3.68414",2022-03-29 22:35:00
"96","22:40:00",2022-03-29,"--------","10.4534","-2.07392","9.08229","3.68414",2022-03-29 22:40:00
"97","22:45:00",2022-03-29,"--------","8.68667","-5.07317","9.08229","3.68414",2022-03-29 22:45:00
"98","22:50:00",2022-03-29,"--------","8.8238","-2.15559","9.08229","3.68414",2022-03-29 22:50:00
"99","22:55:00",2022-03-29,"--------","10.1333","3.82119","9.08229","3.68414",2022-03-29 22:55:00
"100","23:00:00",2022-03-29,"--------","11.4663","-0.399731","9.08229","3.68414",2022-03-29 23:00:00
"101","23:05:00",2022-03-29,"--------","11.2311","-3.69457","9.08229","3.68414",2022-03-29 23:05:00
"102","23:10:00",2022-03-29,"--------","13.5603","-1.95998","9.08229","3.68414",2022-03-29 23:10:00
"103","23:15:00",2022-03-29,"--------","10.4174","-1.98144","9.08229","3.68414",2022-03-29 23:15:00
"104","23:20:00",2022-03-29,"--------","7.12622","-2.31642","9.08229","3.68414",2022-03-29 23:20:00
"105","23:25:00",2022-03-29,"--------","6.51644","-0.296948","9.08229","3.68414",2022-03-29 23:25:00
"106","23:30:00",2022-03-29,"--------","5.96547","5.8624","9.08229","3.68414",2022-03-29 23:30:00
"107","23:35:00",2022-03-29,"--------","8.43245","7.92245","9.08229","3.68414",2022-03-29 23:35:00
"108","23:40:00",2022-03-29,"--------","6.62002","8.49108","9.08229","3.68414",2022-03-29 23:40:00
"109","23:45:00",2022-03-29,"--------","3.97223","6.1683","9.08229","3.68414",2022-03-29 23:45:00
"110","23:50:00",2022-03-29,"--------","7.34067","3.49828","9.08229","3.68414",2022-03-29 23:50:00
"111","23:55:00",2022-03-29,"--------","8.1411","4.95751","9.08229","3.68414",2022-03-29 23:55:00
"112","00:00:00",2022-03-30,"--------","10.1985","5.3354","9.0972","3.68657",2022-03-30 00:00:00
"113","00:05:00",2022-03-30,"--------","11.4378","5.52477","13.5542","4.4124",2022-03-30 00:05:00
"114","00:10:00",2022-03-30,"--------","11.4378","5.52477","13.5542","4.4124",2022-03-30 00:10:00
"115","00:15:00",2022-03-30,"--------","11.4378","5.52473","13.5542","4.4124",2022-03-30 00:15:00
"116","00:20:00",2022-03-30,"--------","12.6274","2.49786","13.5542","4.4124",2022-03-30 00:20:00
"117","00:25:00",2022-03-30,"--------","15.9239","-7.37636","13.5542","4.4124",2022-03-30 00:25:00
"118","00:30:00",2022-03-30,"--------","15.2109","-8.83991","13.5542","4.4124",2022-03-30 00:30:00
"119","00:35:00",2022-03-30,"--------","14.8786","-6.89577","13.5542","4.4124",2022-03-30 00:35:00
"120","00:40:00",2022-03-30,"--------","18.0966","-9.26046","13.5542","4.4124",2022-03-30 00:40:00
"121","00:45:00",2022-03-30,"--------","16.7301","-10.3632","13.5542","4.4124",2022-03-30 00:45:00
"122","00:50:00",2022-03-30,"--------","13.2435","-9.49499","13.5542","4.4124",2022-03-30 00:50:00
"123","00:55:00",2022-03-30,"--------","11.9603","-8.97427","13.5542","4.4124",2022-03-30 00:55:00
"124","01:00:00",2022-03-30,"--------","12.0893","-6.16229","13.5542","4.4124",2022-03-30 01:00:00
"125","01:05:00",2022-03-30,"--------","13.168","-0.774009","13.5542","4.4124",2022-03-30 01:05:00
"126","01:10:00",2022-03-30,"--------","13.7815","-0.24832","13.5542","4.4124",2022-03-30 01:10:00
"127","01:15:00",2022-03-30,"--------","10.2951","1.54786","13.5542","4.4124",2022-03-30 01:15:00
"128","01:20:00",2022-03-30,"--------","7.39285","3.67882","13.5542","4.4124",2022-03-30 01:20:00
"129","01:25:00",2022-03-30,"--------","10.0143","3.82819","13.5542","4.4124",2022-03-30 01:25:00
"130","01:30:00",2022-03-30,"--------","11.7979","6.48751","13.5542","4.4124",2022-03-30 01:30:00
"131","01:35:00",2022-03-30,"--------","12.7415","5.0953","13.5542","4.4124",2022-03-30 01:35:00
"132","01:40:00",2022-03-30,"--------","11.9433","4.08761","13.5542","4.4124",2022-03-30 01:40:00
"133","01:45:00",2022-03-30,"--------","11.8321","5.87883","13.5542","4.4124",2022-03-30 01:45:00
"134","01:50:00",2022-03-30,"--------","17.237","6.70346","13.5542","4.4124",2022-03-30 01:50:00
"135","01:55:00",2022-03-30,"--------","18.4275","8.04995","13.5542","4.4124",2022-03-30 01:55:00
"136","02:00:00",2022-03-30,"--------","17.6841","2.87042","13.5542","4.4124",2022-03-30 02:00:00
"137","02:05:00",2022-03-30,"--------","15.0935","0.0982021","13.5542","4.4124",2022-03-30 02:05:00
"138","02:10:00",2022-03-30,"--------","13.2224","3.35811","13.5542","4.4124",2022-03-30 02:10:00
"139","02:15:00",2022-03-30,"--------","11.5535","5.38048","13.5542","4.4124",2022-03-30 02:15:00
"140","02:20:00",2022-03-30,"--------","10.4156","5.03124","13.5542","4.4124",2022-03-30 02:20:00
"141","02:25:00",2022-03-30,"--------","6.73656","3.11975","13.5542","4.4124",2022-03-30 02:25:00
"142","02:30:00",2022-03-30,"--------","6.68644","3.41584","13.5542","4.4124",2022-03-30 02:30:00
"143","02:35:00",2022-03-30,"--------","8.64961","1.30138","13.5542","4.4124",2022-03-30 02:35:00
"144","02:40:00",2022-03-30,"--------","11.226","-0.698637","13.5542","4.4124",2022-03-30 02:40:00
"145","02:45:00",2022-03-30,"--------","12.8583","-0.599592","13.5542","4.4124",2022-03-30 02:45:00
"146","02:50:00",2022-03-30,"--------","10.2765","2.80562","13.5542","4.4124",2022-03-30 02:50:00
"147","02:55:00",2022-03-30,"--------","9.55692","6.72987","13.5542","4.4124",2022-03-30 02:55:00
"148","03:00:00",2022-03-30,"--------","9.95099","7.21075","13.5542","4.4124",2022-03-30 03:00:00
"149","03:05:00",2022-03-30,"--------","6.93602","5.51197","13.5542","4.4124",2022-03-30 03:05:00
"150","03:10:00",2022-03-30,"--------","4.58825","6.37865","13.5542","4.4124",2022-03-30 03:10:00
"151","03:15:00",2022-03-30,"--------","5.13985","9.25926","13.5542","4.4124",2022-03-30 03:15:00
"152","03:20:00",2022-03-30,"--------","3.45281","7.02114","13.5542","4.4124",2022-03-30 03:20:00
"153","03:25:00",2022-03-30,"--------","2.34265","4.5699","13.5542","4.4124",2022-03-30 03:25:00
"154","03:30:00",2022-03-30,"--------","3.64613","3.46425","13.5542","4.4124",2022-03-30 03:30:00
"155","03:35:00",2022-03-30,"--------","2.32481","6.5641","13.5542","4.4124",2022-03-30 03:35:00
"156","03:40:00",2022-03-30,"--------","3.09717","7.86287","13.5542","4.4124",2022-03-30 03:40:00
"157","03:45:00",2022-03-30,"--------","4.45793","6.88398","13.5542","4.4124",2022-03-30 03:45:00
"158","03:50:00",2022-03-30,"--------","4.01726","8.00538","13.5542","4.4124",2022-03-30 03:50:00
"159","03:55:00",2022-03-30,"--------","3.25435","7.77666","13.5542","4.4124",2022-03-30 03:55:00
"160","04:00:00",2022-03-30,"--------","2.94816","5.70082","13.5542","4.4124",2022-03-30 04:00:00
"161","04:05:00",2022-03-30,"--------","5.24492","3.63951","13.5542","4.4124",2022-03-30 04:05:00
"162","04:10:00",2022-03-30,"--------","7.96793","4.89053","13.5542","4.4124",2022-03-30 04:10:00
"163","04:15:00",2022-03-30,"--------","5.41667","7.56716","13.5542","4.4124",2022-03-30 04:15:00
"164","04:20:00",2022-03-30,"--------","3.94438","7.44122","13.5542","4.4124",2022-03-30 04:20:00
"165","04:25:00",2022-03-30,"--------","5.04273","4.81153","13.5542","4.4124",2022-03-30 04:25:00
"166","04:30:00",2022-03-30,"--------","5.66384","0.377724","13.5542","4.4124",2022-03-30 04:30:00
"167","04:35:00",2022-03-30,"--------","6.58805","0.0907849","13.5542","4.4124",2022-03-30 04:35:00
"168","04:40:00",2022-03-30,"--------","7.61719","-0.737172","13.5542","4.4124",2022-03-30 04:40:00
"169","04:45:00",2022-03-30,"--------","8.47983","1.5514","13.5542","4.4124",2022-03-30 04:45:00
"170","04:50:00",2022-03-30,"--------","6.72194","3.11651","13.5542","4.4124",2022-03-30 04:50:00
"171","04:55:00",2022-03-30,"--------","4.07054","6.04314","13.5542","4.4124",2022-03-30 04:55:00
"172","05:00:00",2022-03-30,"--------","4.44085","4.13408","13.5542","4.4124",2022-03-30 05:00:00
"173","05:05:00",2022-03-30,"--------","2.77894","2.7801","13.5542","4.4124",2022-03-30 05:05:00
"174","05:10:00",2022-03-30,"--------","5.34523","-0.0619194","13.5542","4.4124",2022-03-30 05:10:00
"175","05:15:00",2022-03-30,"--------","7.53538","-0.422269","13.5542","4.4124",2022-03-30 05:15:00
"176","05:20:00",2022-03-30,"--------","8.88059","-0.234474","13.5542","4.4124",2022-03-30 05:20:00
"177","05:25:00",2022-03-30,"--------","6.01933","-0.588652","13.5542","4.4124",2022-03-30 05:25:00
"178","05:30:00",2022-03-30,"--------","2.42422","0.22944","13.5542","4.4124",2022-03-30 05:30:00
"179","05:35:00",2022-03-30,"--------","1.50901","-5.08745","13.5542","4.4124",2022-03-30 05:35:00
"180","05:40:00",2022-03-30,"--------","1.45142","-6.11269","13.5542","4.4124",2022-03-30 05:40:00
"181","05:45:00",2022-03-30,"--------","2.83274","-6.35484","13.5542","4.4124",2022-03-30 05:45:00
"182","05:50:00",2022-03-30,"--------","4.21172","-3.96099","13.5542","4.4124",2022-03-30 05:50:00
"183","05:55:00",2022-03-30,"--------","3.9431","-1.47025","13.5542","4.4124",2022-03-30 05:55:00
"184","06:00:00",2022-03-30,"--------","4.69958","2.21981","13.5542","4.4124",2022-03-30 06:00:00
"185","06:05:00",2022-03-30,"--------","6.74893","3.21361","13.5542","4.4124",2022-03-30 06:05:00
"186","06:10:00",2022-03-30,"--------","5.32868","-0.642383","13.5542","4.4124",2022-03-30 06:10:00
"187","06:15:00",2022-03-30,"--------","6.47277","-0.212103","13.5542","4.4124",2022-03-30 06:15:00
"188","06:20:00",2022-03-30,"--------","4.65763","1.94522","13.5542","4.4124",2022-03-30 06:20:00
"189","06:25:00",2022-03-30,"--------","5.14687","2.63254","13.5542","4.4124",2022-03-30 06:25:00
"190","06:30:00",2022-03-30,"--------","8.22863","5.3298","13.5542","4.4124",2022-03-30 06:30:00
"191","06:35:00",2022-03-30,"--------","8.8514","6.46128","13.5542","4.4124",2022-03-30 06:35:00
"192","06:40:00",2022-03-30,"--------","8.14415","6.95134","13.5542","4.4124",2022-03-30 06:40:00
"193","06:45:00",2022-03-30,"--------","12.1331","8.36611","13.5542","4.4124",2022-03-30 06:45:00
"194","06:50:00",2022-03-30,"--------","13.1174","10.2512","13.5542","4.4124",2022-03-30 06:50:00
"195","06:55:00",2022-03-30,"--------","9.98342","9.38499","13.5542","4.4124",2022-03-30 06:55:00
"196","07:00:00",2022-03-30,"--------","6.5248","3.72849","13.5542","4.4124",2022-03-30 07:00:00
"197","07:05:00",2022-03-30,"--------","3.7851","1.4682","13.5542","4.4124",2022-03-30 07:05:00
"198","07:10:00",2022-03-30,"--------","2.95804","1.11111","13.5542","4.4124",2022-03-30 07:10:00
"199","07:15:00",2022-03-30,"--------","4.6586","1.60081","13.5542","4.4124",2022-03-30 07:15:00
"200","07:20:00",2022-03-30,"--------","6.80956","3.11894","13.5542","4.4124",2022-03-30 07:20:00
"201","07:25:00",2022-03-30,"--------","8.53076","1.88971","13.5542","4.4124",2022-03-30 07:25:00
"202","07:30:00",2022-03-30,"--------","9.38466","1.11165","13.5542","4.4124",2022-03-30 07:30:00
"203","07:35:00",2022-03-30,"--------","11.4005","-0.29946","13.5542","4.4124",2022-03-30 07:35:00
"204","07:40:00",2022-03-30,"--------","10.6238","3.7892","13.5542","4.4124",2022-03-30 07:40:00
"205","07:45:00",2022-03-30,"--------","14.2813","7.14876","13.5542","4.4124",2022-03-30 07:45:00
"206","07:50:00",2022-03-30,"--------","15.074","8.6697","13.5542","4.4124",2022-03-30 07:50:00
"207","07:55:00",2022-03-30,"--------","12.6639","5.84264","13.5542","4.4124",2022-03-30 07:55:00
"208","08:00:00",2022-03-30,"--------","9.38585","5.92332","13.5542","4.4124",2022-03-30 08:00:00
"209","08:05:00",2022-03-30,"--------","8.70702","8.12793","13.5542","4.4124",2022-03-30 08:05:00
"210","08:10:00",2022-03-30,"--------","8.70702","8.12793","13.5542","4.4124",2022-03-30 08:10:00
"211","08:15:00",2022-03-30,"--------","8.70704","8.12802","13.5542","4.4124",2022-03-30 08:15:00
"212","08:20:00",2022-03-30,"--------","9.20086","12.8978","13.5542","4.4124",2022-03-30 08:20:00
"213","08:25:00",2022-03-30,"--------","9.93299","18.2792","13.5542","4.4124",2022-03-30 08:25:00
"214","08:30:00",2022-03-30,"--------","12.0656","22.6002","13.5542","4.4124",2022-03-30 08:30:00
"215","08:35:00",2022-03-30,"--------","10.281","23.2054","13.5542","4.4124",2022-03-30 08:35:00
"216","08:40:00",2022-03-30,"--------","8.91829","23.3128","13.5542","4.4124",2022-03-30 08:40:00
"217","08:45:00",2022-03-30,"--------","10.9442","22.1668","13.5542","4.4124",2022-03-30 08:45:00
"218","08:50:00",2022-03-30,"--------","9.41557","22.9776","13.5542","4.4124",2022-03-30 08:50:00
"219","08:55:00",2022-03-30,"--------","7.05812","22.9697","13.5542","4.4124",2022-03-30 08:55:00
"220","09:00:00",2022-03-30,"--------","6.44214","23.6203","13.5542","4.4124",2022-03-30 09:00:00
"221","09:05:00",2022-03-30,"--------","6.52912","20.7447","13.5542","4.4124",2022-03-30 09:05:00
"222","09:10:00",2022-03-30,"--------","6.55145","20.2535","13.5542","4.4124",2022-03-30 09:10:00
"223","09:15:00",2022-03-30,"--------","5.92478","19.6958","13.5542","4.4124",2022-03-30 09:15:00
"224","09:20:00",2022-03-30,"--------","3.6882","15.2546","13.5542","4.4124",2022-03-30 09:20:00
"225","09:25:00",2022-03-30,"--------","5.71658","11.7802","13.5542","4.4124",2022-03-30 09:25:00
"226","09:30:00",2022-03-30,"--------","7.48988","6.70141","13.5542","4.4124",2022-03-30 09:30:00
"227","09:35:00",2022-03-30,"--------","5.81308","7.08275","13.5542","4.4124",2022-03-30 09:35:00
"228","09:40:00",2022-03-30,"--------","5.68294","3.87305","13.5542","4.4124",2022-03-30 09:40:00
"229","09:45:00",2022-03-30,"--------","7.89864","3.037","13.5542","4.4124",2022-03-30 09:45:00
"230","09:50:00",2022-03-30,"--------","8.08432","4.50288","13.5542","4.4124",2022-03-30 09:50:00
"231","09:55:00",2022-03-30,"--------","8.79868","6.59664","13.5542","4.4124",2022-03-30 09:55:00
"232","10:00:00",2022-03-30,"--------","8.51941","3.14407","13.5542","4.4124",2022-03-30 10:00:00
"233","10:05:00",2022-03-30,"--------","9.65474","0.813619","13.5542","4.4124",2022-03-30 10:05:00
"234","10:10:00",2022-03-30,"--------","12.2069","1.28973","13.5542","4.4124",2022-03-30 10:10:00
"235","10:15:00",2022-03-30,"--------","16.132","5.78712","13.5542","4.4124",2022-03-30 10:15:00
"236","10:20:00",2022-03-30,"--------","24.5074","14.6458","13.5542","4.4124",2022-03-30 10:20:00
"237","10:25:00",2022-03-30,"--------","32.8978","23.6319","13.5542","4.4124",2022-03-30 10:25:00
"238","10:30:00",2022-03-30,"--------","35.9759","25.4892","13.5542","4.4124",2022-03-30 10:30:00
"239","10:35:00",2022-03-30,"--------","34.4288","27.3417","13.5542","4.4124",2022-03-30 10:35:00
"240","10:40:00",2022-03-30,"--------","32.4718","30.364","13.5542","4.4124",2022-03-30 10:40:00
"241","10:45:00",2022-03-30,"--------","29.8448","27.5823","13.5542","4.4124",2022-03-30 10:45:00
"242","10:50:00",2022-03-30,"--------","27.8251","20.0545","13.5542","4.4124",2022-03-30 10:50:00
"243","10:55:00",2022-03-30,"--------","24.1319","18.2038","13.5542","4.4124",2022-03-30 10:55:00
"244","11:00:00",2022-03-30,"--------","19.7621","16.2919","13.5542","4.4124",2022-03-30 11:00:00
"245","11:05:00",2022-03-30,"--------","16.0883","12.7081","13.5542","4.4124",2022-03-30 11:05:00
"246","11:10:00",2022-03-30,"--------","13.8737","13.8096","13.5542","4.4124",2022-03-30 11:10:00
"247","11:15:00",2022-03-30,"--------","18.7891","11.115","13.5542","4.4124",2022-03-30 11:15:00
"248","11:20:00",2022-03-30,"--------","21.8925","11.4793","13.5542","4.4124",2022-03-30 11:20:00
"249","11:25:00",2022-03-30,"--------","21.9397","14.8305","13.5542","4.4124",2022-03-30 11:25:00
"250","11:30:00",2022-03-30,"--------","16.9468","16.1226","13.5542","4.4124",2022-03-30 11:30:00
"251","11:35:00",2022-03-30,"--------","13.7531","12.3961","13.5542","4.4124",2022-03-30 11:35:00
"252","11:40:00",2022-03-30,"--------","10.3137","9.6098","13.5542","4.4124",2022-03-30 11:40:00
"253","11:45:00",2022-03-30,"--------","12.4674","9.70851","13.5542","4.4124",2022-03-30 11:45:00
"254","11:50:00",2022-03-30,"--------","13.4672","7.83547","13.5542","4.4124",2022-03-30 11:50:00
"255","11:55:00",2022-03-30,"--------","12.4481","5.24452","13.5542","4.4124",2022-03-30 11:55:00
"256","12:00:00",2022-03-30,"--------","12.0908","3.82638","13.5542","4.4124",2022-03-30 12:00:00
"257","12:05:00",2022-03-30,"--------","12.6018","1.2096","13.5542","4.4124",2022-03-30 12:05:00
"258","12:10:00",2022-03-30,"--------","8.67708","1.60589","13.5542","4.4124",2022-03-30 12:10:00
"259","12:15:00",2022-03-30,"--------","8.75422","1.38707","13.5542","4.4124",2022-03-30 12:15:00
"260","12:20:00",2022-03-30,"--------","11.7764","1.32551","13.5542","4.4124",2022-03-30 12:20:00
"261","12:25:00",2022-03-30,"--------","12.6294","3.42841","13.5542","4.4124",2022-03-30 12:25:00
